Date and Time Run 1,Time (s) Run 1,Temperature (°C) Run 1,Date and Time Run 2,Time (s) Run 2,Temperature (°C) Run 2
10/21/2020 02:10:23 pm,0.000,22.8,10/21/2020 02:12:16 pm,0.000,32.0
10/21/2020 02:10:23 pm,0.500,22.8,10/21/2020 02:12:16 pm,0.500,32.0
10/21/2020 02:10:24 pm,1.000,22.8,10/21/2020 02:12:17 pm,1.000,32.0
10/21/2020 02:10:24 pm,1.500,22.8,10/21/2020 02:12:17 pm,1.500,32.0
10/21/2020 02:10:25 pm,2.000,22.8,10/21/2020 02:12:18 pm,2.000,32.0
10/21/2020 02:10:25 pm,2.500,22.7,10/21/2020 02:12:18 pm,2.500,32.0
10/21/2020 02:10:26 pm,3.000,22.8,10/21/2020 02:12:19 pm,3.000,32.0
10/21/2020 02:10:26 pm,3.500,22.7,10/21/2020 02:12:19 pm,3.500,32.0
10/21/2020 02:10:27 pm,4.000,22.7,10/21/2020 02:12:20 pm,4.000,32.0
10/21/2020 02:10:27 pm,4.500,22.7,10/21/2020 02:12:20 pm,4.500,32.0
10/21/2020 02:10:28 pm,5.000,22.7,10/21/2020 02:12:21 pm,5.000,32.0
10/21/2020 02:10:28 pm,5.500,22.7,10/21/2020 02:12:21 pm,5.500,32.0
10/21/2020 02:10:29 pm,6.000,22.7,10/21/2020 02:12:22 pm,6.000,32.0
10/21/2020 02:10:29 pm,6.500,22.8,10/21/2020 02:12:22 pm,6.500,32.0
10/21/2020 02:10:30 pm,7.000,22.8,10/21/2020 02:12:23 pm,7.000,32.0
10/21/2020 02:10:30 pm,7.500,22.9,10/21/2020 02:12:23 pm,7.500,32.0
10/21/2020 02:10:31 pm,8.000,22.9,10/21/2020 02:12:24 pm,8.000,32.0
10/21/2020 02:10:31 pm,8.500,23.0,10/21/2020 02:12:24 pm,8.500,32.0
10/21/2020 02:10:32 pm,9.000,23.1,10/21/2020 02:12:25 pm,9.000,32.0
10/21/2020 02:10:32 pm,9.500,23.2,10/21/2020 02:12:25 pm,9.500,32.0
10/21/2020 02:10:33 pm,10.000,23.4,10/21/2020 02:12:26 pm,10.000,32.0
10/21/2020 02:10:33 pm,10.500,23.4,10/21/2020 02:12:26 pm,10.500,32.0
10/21/2020 02:10:34 pm,11.000,23.5,10/21/2020 02:12:27 pm,11.000,32.0
10/21/2020 02:10:34 pm,11.500,23.6,10/21/2020 02:12:27 pm,11.500,31.9
10/21/2020 02:10:35 pm,12.000,23.7,10/21/2020 02:12:28 pm,12.000,31.9
10/21/2020 02:10:35 pm,12.500,23.8,10/21/2020 02:12:28 pm,12.500,31.8
10/21/2020 02:10:36 pm,13.000,24.1,10/21/2020 02:12:29 pm,13.000,31.8
10/21/2020 02:10:36 pm,13.500,24.4,10/21/2020 02:12:29 pm,13.500,31.8
10/21/2020 02:10:37 pm,14.000,24.9,10/21/2020 02:12:30 pm,14.000,31.7
10/21/2020 02:10:37 pm,14.500,25.3,10/21/2020 02:12:30 pm,14.500,31.7
10/21/2020 02:10:38 pm,15.000,25.8,10/21/2020 02:12:31 pm,15.000,31.6
10/21/2020 02:10:38 pm,15.500,26.3,10/21/2020 02:12:31 pm,15.500,31.6
10/21/2020 02:10:39 pm,16.000,26.7,10/21/2020 02:12:32 pm,16.000,31.6
10/21/2020 02:10:39 pm,16.500,27.1,10/21/2020 02:12:32 pm,16.500,31.6
10/21/2020 02:10:40 pm,17.000,27.4,10/21/2020 02:12:33 pm,17.000,31.5
10/21/2020 02:10:40 pm,17.500,27.7,10/21/2020 02:12:33 pm,17.500,31.5
10/21/2020 02:10:41 pm,18.000,27.9,10/21/2020 02:12:34 pm,18.000,31.5
10/21/2020 02:10:41 pm,18.500,28.2,10/21/2020 02:12:34 pm,18.500,31.4
10/21/2020 02:10:42 pm,19.000,28.4,10/21/2020 02:12:35 pm,19.000,31.4
10/21/2020 02:10:42 pm,19.500,28.6,10/21/2020 02:12:35 pm,19.500,31.4
10/21/2020 02:10:43 pm,20.000,28.8,10/21/2020 02:12:36 pm,20.000,31.3
10/21/2020 02:10:43 pm,20.500,28.9,10/21/2020 02:12:36 pm,20.500,31.3
10/21/2020 02:10:44 pm,21.000,29.0,10/21/2020 02:12:37 pm,21.000,31.3
10/21/2020 02:10:44 pm,21.500,29.1,10/21/2020 02:12:37 pm,21.500,31.2
10/21/2020 02:10:45 pm,22.000,29.3,10/21/2020 02:12:38 pm,22.000,31.2
10/21/2020 02:10:45 pm,22.500,29.4,10/21/2020 02:12:38 pm,22.500,31.1
10/21/2020 02:10:46 pm,23.000,29.5,10/21/2020 02:12:39 pm,23.000,31.1
10/21/2020 02:10:46 pm,23.500,29.6,10/21/2020 02:12:39 pm,23.500,31.1
10/21/2020 02:10:47 pm,24.000,29.7,10/21/2020 02:12:40 pm,24.000,31.0
10/21/2020 02:10:47 pm,24.500,29.8,10/21/2020 02:12:40 pm,24.500,31.0
10/21/2020 02:10:48 pm,25.000,29.9,10/21/2020 02:12:41 pm,25.000,31.0
10/21/2020 02:10:48 pm,25.500,30.0,10/21/2020 02:12:41 pm,25.500,30.9
10/21/2020 02:10:49 pm,26.000,30.0,10/21/2020 02:12:42 pm,26.000,30.9
10/21/2020 02:10:49 pm,26.500,30.1,10/21/2020 02:12:42 pm,26.500,30.9
10/21/2020 02:10:50 pm,27.000,30.2,10/21/2020 02:12:43 pm,27.000,30.8
10/21/2020 02:10:50 pm,27.500,30.3,10/21/2020 02:12:43 pm,27.500,30.8
10/21/2020 02:10:51 pm,28.000,30.4,10/21/2020 02:12:44 pm,28.000,30.8
10/21/2020 02:10:51 pm,28.500,30.4,10/21/2020 02:12:44 pm,28.500,30.7
10/21/2020 02:10:52 pm,29.000,30.5,10/21/2020 02:12:45 pm,29.000,30.7
10/21/2020 02:10:52 pm,29.500,30.6,10/21/2020 02:12:45 pm,29.500,30.7
10/21/2020 02:10:53 pm,30.000,30.6,10/21/2020 02:12:46 pm,30.000,30.6
10/21/2020 02:10:53 pm,30.500,30.6,10/21/2020 02:12:46 pm,30.500,30.6
10/21/2020 02:10:54 pm,31.000,30.7,10/21/2020 02:12:47 pm,31.000,30.6
10/21/2020 02:10:54 pm,31.500,30.8,10/21/2020 02:12:47 pm,31.500,30.5
10/21/2020 02:10:55 pm,32.000,30.8,10/21/2020 02:12:48 pm,32.000,30.5
10/21/2020 02:10:55 pm,32.500,30.9,10/21/2020 02:12:48 pm,32.500,30.5
10/21/2020 02:10:56 pm,33.000,30.9,10/21/2020 02:12:49 pm,33.000,30.4
10/21/2020 02:10:56 pm,33.500,31.0,10/21/2020 02:12:49 pm,33.500,30.4
10/21/2020 02:10:57 pm,34.000,31.0,10/21/2020 02:12:50 pm,34.000,30.4
10/21/2020 02:10:57 pm,34.500,31.0,10/21/2020 02:12:50 pm,34.500,30.3
10/21/2020 02:10:58 pm,35.000,31.1,10/21/2020 02:12:51 pm,35.000,30.3
10/21/2020 02:10:58 pm,35.500,31.1,10/21/2020 02:12:51 pm,35.500,30.3
10/21/2020 02:10:59 pm,36.000,31.1,10/21/2020 02:12:52 pm,36.000,30.2
10/21/2020 02:10:59 pm,36.500,31.1,10/21/2020 02:12:52 pm,36.500,30.2
10/21/2020 02:11:00 pm,37.000,31.2,10/21/2020 02:12:53 pm,37.000,30.2
10/21/2020 02:11:00 pm,37.500,31.3,10/21/2020 02:12:53 pm,37.500,30.1
10/21/2020 02:11:01 pm,38.000,31.3,10/21/2020 02:12:54 pm,38.000,30.1
10/21/2020 02:11:01 pm,38.500,31.3,10/21/2020 02:12:54 pm,38.500,30.0
10/21/2020 02:11:02 pm,39.000,31.3,10/21/2020 02:12:55 pm,39.000,30.0
